"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"0","prod-bill-srv","System.Byte[]","4747","(0)","0","Information","Service stopped.","edgeupdate","System.String[]","0","5/21/2025 8:24:54 AM","5/21/2025 8:24:54 AM",,,
"4097","prod-bill-srv","System.Byte[]","4746","(0)","0","Information","Successful auto update of third-party root certificate:: Subject: <CN=ISRG Root X1, O=Internet Security Research Group, C=US> Sha1 thumbprint: <CABD2A79A1076A31F21D253635CB039D4329A5E8>.","Microsoft-Windows-CAPI2","System.String[]","4097","5/21/2025 8:24:03 AM","5/21/2025 8:24:03 AM",,,
"4097","prod-bill-srv","System.Byte[]","4745","(0)","0","Information","Successful auto update of third-party root certificate:: Subject: <CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, S=Greater Manchester, C=GB> Sha1 thumbprint: <D1EB23A46D17D68FD92564C2F1F1601764D8E349>.","Microsoft-Windows-CAPI2","System.String[]","4097","5/21/2025 8:23:59 AM","5/21/2025 8:23:59 AM",,,
"16384","prod-bill-srv","System.Byte[]","4744","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:01:04Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 7:59:04 AM","5/21/2025 7:59:04 AM",,,
"16394","prod-bill-srv","System.Byte[]","4743","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 7:58:34 AM","5/21/2025 7:58:34 AM",,,
"16384","prod-bill-srv","System.Byte[]","4742","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:00:47Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 6:58:47 AM","5/21/2025 6:58:47 AM",,,
"16394","prod-bill-srv","System.Byte[]","4741","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 6:58:17 AM","5/21/2025 6:58:17 AM",,,
"16384","prod-bill-srv","System.Byte[]","4740","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:01:31Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 5:58:31 AM","5/21/2025 5:58:31 AM",,,
"16394","prod-bill-srv","System.Byte[]","4739","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 5:58:00 AM","5/21/2025 5:58:00 AM",,,
"16384","prod-bill-srv","System.Byte[]","4738","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:01:14Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 4:58:14 AM","5/21/2025 4:58:14 AM",,,
"16394","prod-bill-srv","System.Byte[]","4737","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 4:57:43 AM","5/21/2025 4:57:43 AM",,,
"16384","prod-bill-srv","System.Byte[]","4736","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:00:57Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 3:57:57 AM","5/21/2025 3:57:57 AM",,,
"16394","prod-bill-srv","System.Byte[]","4735","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 3:57:27 AM","5/21/2025 3:57:27 AM",,,
"16384","prod-bill-srv","System.Byte[]","4734","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:00:53Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/21/2025 3:44:53 AM","5/21/2025 3:44:53 AM",,,
"16394","prod-bill-srv","System.Byte[]","4733","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/21/2025 3:44:21 AM","5/21/2025 3:44:21 AM",,,
