"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16384","prod-sub-db","System.Byte[]","8008","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:07:03Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 5:49:03 AM","5/22/2025 5:49:03 AM",,,
"16394","prod-sub-db","System.Byte[]","8007","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 5:48:32 AM","5/22/2025 5:48:32 AM",,,
"25753","prod-sub-db","System.Byte[]","8006","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 5:32:57 AM","5/22/2025 5:32:57 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25754","prod-sub-db","System.Byte[]","8005","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS03","System.String[]","1073767578","5/22/2025 5:32:57 AM","5/22/2025 5:32:57 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25753","prod-sub-db","System.Byte[]","8004","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS02","System.String[]","1073767577","5/22/2025 5:32:57 AM","5/22/2025 5:32:57 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"25754","prod-sub-db","System.Byte[]","8003","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS02","System.String[]","1073767578","5/22/2025 5:32:57 AM","5/22/2025 5:32:57 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"16384","prod-sub-db","System.Byte[]","8002","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:06:49Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 4:48:49 AM","5/22/2025 4:48:49 AM",,,
"16394","prod-sub-db","System.Byte[]","8001","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 4:48:18 AM","5/22/2025 4:48:18 AM",,,
"25753","prod-sub-db","System.Byte[]","8000","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 4:32:56 AM","5/22/2025 4:32:56 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25754","prod-sub-db","System.Byte[]","7999","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS03","System.String[]","1073767578","5/22/2025 4:32:56 AM","5/22/2025 4:32:56 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25753","prod-sub-db","System.Byte[]","7998","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS02","System.String[]","1073767577","5/22/2025 4:32:56 AM","5/22/2025 4:32:56 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"25754","prod-sub-db","System.Byte[]","7997","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS02","System.String[]","1073767578","5/22/2025 4:32:56 AM","5/22/2025 4:32:56 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"16384","prod-sub-db","System.Byte[]","7996","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:07:36Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 3:48:36 AM","5/22/2025 3:48:36 AM",,,
"16394","prod-sub-db","System.Byte[]","7995","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 3:48:05 AM","5/22/2025 3:48:05 AM",,,
"25753","prod-sub-db","System.Byte[]","7994","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 3:32:55 AM","5/22/2025 3:32:55 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25754","prod-sub-db","System.Byte[]","7993","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS03","System.String[]","1073767578","5/22/2025 3:32:55 AM","5/22/2025 3:32:55 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25753","prod-sub-db","System.Byte[]","7992","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS02","System.String[]","1073767577","5/22/2025 3:32:55 AM","5/22/2025 3:32:55 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"25754","prod-sub-db","System.Byte[]","7991","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS02","System.String[]","1073767578","5/22/2025 3:32:55 AM","5/22/2025 3:32:55 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"16384","prod-sub-db","System.Byte[]","7990","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:07:15Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 3:27:15 AM","5/22/2025 3:27:15 AM",,,
"16394","prod-sub-db","System.Byte[]","7989","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 3:26:44 AM","5/22/2025 3:26:44 AM",,,
"0","prod-sub-db","System.Byte[]","7988","(0)","0","Information","Service stopped.","edgeupdate","System.String[]","0","5/22/2025 3:21:22 AM","5/22/2025 3:21:22 AM",,,
"16384","prod-sub-db","System.Byte[]","7987","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:07:22Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 2:48:22 AM","5/22/2025 2:48:22 AM",,,
"16394","prod-sub-db","System.Byte[]","7986","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 2:47:52 AM","5/22/2025 2:47:52 AM",,,
"25753","prod-sub-db","System.Byte[]","7985","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 2:32:54 AM","5/22/2025 2:32:54 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25754","prod-sub-db","System.Byte[]","7984","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS03","System.String[]","1073767578","5/22/2025 2:32:54 AM","5/22/2025 2:32:54 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25753","prod-sub-db","System.Byte[]","7983","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS02","System.String[]","1073767577","5/22/2025 2:32:54 AM","5/22/2025 2:32:54 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"25754","prod-sub-db","System.Byte[]","7982","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS02","System.String[]","1073767578","5/22/2025 2:32:54 AM","5/22/2025 2:32:54 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"16384","prod-sub-db","System.Byte[]","7981","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:07:08Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 1:48:08 AM","5/22/2025 1:48:08 AM",,,
"16394","prod-sub-db","System.Byte[]","7980","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 1:47:37 AM","5/22/2025 1:47:37 AM",,,
"25753","prod-sub-db","System.Byte[]","7979","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 1:32:53 AM","5/22/2025 1:32:53 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25754","prod-sub-db","System.Byte[]","7978","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS03","System.String[]","1073767578","5/22/2025 1:32:53 AM","5/22/2025 1:32:53 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
"25753","prod-sub-db","System.Byte[]","7977","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS02","System.String[]","1073767577","5/22/2025 1:32:53 AM","5/22/2025 1:32:53 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"25754","prod-sub-db","System.Byte[]","7976","Server","2","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS02","System.String[]","1073767578","5/22/2025 1:32:53 AM","5/22/2025 1:32:53 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS02",,
"16384","prod-sub-db","System.Byte[]","7975","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:06:52Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 1:18:52 AM","5/22/2025 1:18:52 AM",,,
"16394","prod-sub-db","System.Byte[]","7974","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 1:18:07 AM","5/22/2025 1:18:07 AM",,,
"16384","prod-sub-db","System.Byte[]","7973","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2025-05-24T10:06:54Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","5/22/2025 12:47:54 AM","5/22/2025 12:47:54 AM",,,
"16394","prod-sub-db","System.Byte[]","7972","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","5/22/2025 12:47:24 AM","5/22/2025 12:47:24 AM",,,
"25753","prod-sub-db","System.Byte[]","7971","Server","2","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS03","System.String[]","1073767577","5/22/2025 12:32:52 AM","5/22/2025 12:32:52 AM","NT SERVICE\SQLTELEMETRY$SQLEXPRESS03",,
